"county","cbsa","cntyname","cbsaname","pop10","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2010 census","county to cbsa alloc factor"
"01001","33860","Autauga AL","Montgomery, AL",54571,1 
"01003","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",182265,1 
"01005"," ","Barbour AL"," ",27457,1 
"01007","13820","Bibb AL","Birmingham-Hoover, AL",22915,1 
"01009","13820","Blount AL","Birmingham-Hoover, AL",57322,1 
"01011"," ","Bullock AL"," ",10914,1 
"01013"," ","Butler AL"," ",20947,1 
"01015","11500","Calhoun AL","Anniston-Oxford-Jacksonville, AL",118572,1 
"01017","46740","Chambers AL","Valley, AL",34215,1 
"01019"," ","Cherokee AL"," ",25989,1 
"01021","13820","Chilton AL","Birmingham-Hoover, AL",43643,1 
"01023"," ","Choctaw AL"," ",13859,1 
"01025"," ","Clarke AL"," ",25833,1 
"01027"," ","Clay AL"," ",13932,1 
"01029"," ","Cleburne AL"," ",14972,1 
"01031","21460","Coffee AL","Enterprise, AL",49948,1 
"01033","22520","Colbert AL","Florence-Muscle Shoals, AL",54428,1 
"01035"," ","Conecuh AL"," ",13228,1 
"01037","45180","Coosa AL","Talladega-Sylacauga, AL",11539,1 
"01039"," ","Covington AL"," ",37765,1 
"01041"," ","Crenshaw AL"," ",13906,1 
"01043","18980","Cullman AL","Cullman, AL",80406,1 
"01045","37120","Dale AL","Ozark, AL",50251,1 
"01047","42820","Dallas AL","Selma, AL",43820,1 
"01049"," ","DeKalb AL"," ",71109,1 
"01051","33860","Elmore AL","Montgomery, AL",79303,1 
"01053"," ","Escambia AL"," ",38319,1 
"01055","23460","Etowah AL","Gadsden, AL",104430,1 
"01057"," ","Fayette AL"," ",17241,1 
"01059"," ","Franklin AL"," ",31704,1 
"01061","20020","Geneva AL","Dothan, AL",26790,1 
"01063"," ","Greene AL"," ",9045,1 
"01065","46220","Hale AL","Tuscaloosa, AL",15760,1 
"01067","20020","Henry AL","Dothan, AL",17302,1 
"01069","20020","Houston AL","Dothan, AL",101547,1 
"01071","42460","Jackson AL","Scottsboro, AL",53227,1 
"01073","13820","Jefferson AL","Birmingham-Hoover, AL",658466,1 
"01075"," ","Lamar AL"," ",14564,1 
"01077","22520","Lauderdale AL","Florence-Muscle Shoals, AL",92709,1 
"01079","19460","Lawrence AL","Decatur, AL",34339,1 
"01081","12220","Lee AL","Auburn-Opelika, AL",140247,1 
"01083","26620","Limestone AL","Huntsville, AL",82782,1 
"01085","33860","Lowndes AL","Montgomery, AL",11299,1 
"01087"," ","Macon AL"," ",21452,1 
"01089","26620","Madison AL","Huntsville, AL",334811,1 
"01091"," ","Marengo AL"," ",21027,1 
"01093"," ","Marion AL"," ",30776,1 
"01095","10700","Marshall AL","Albertville, AL",93019,1 
"01097","33660","Mobile AL","Mobile, AL",412992,1 
"01099"," ","Monroe AL"," ",23068,1 
"01101","33860","Montgomery AL","Montgomery, AL",229363,1 
"01103","19460","Morgan AL","Decatur, AL",119490,1 
"01105"," ","Perry AL"," ",10591,1 
"01107","46220","Pickens AL","Tuscaloosa, AL",19746,1 
"01109","45980","Pike AL","Troy, AL",32899,1 
"01111"," ","Randolph AL"," ",22913,1 
"01113","17980","Russell AL","Columbus, GA-AL",52947,1 
"01115","13820","St. Clair AL","Birmingham-Hoover, AL",83593,1 
"01117","13820","Shelby AL","Birmingham-Hoover, AL",195085,1 
"01119"," ","Sumter AL"," ",13763,1 
"01121","45180","Talladega AL","Talladega-Sylacauga, AL",82291,1 
"01123"," ","Tallapoosa AL"," ",41616,1 
"01125","46220","Tuscaloosa AL","Tuscaloosa, AL",194656,1 
