state,puma12,puma2k,_us_,cbsa,stab,cbsaname,PUMAname,PUMA2kName,pop10,afact
FIPS state,puma12,puma2k,_us_,cbsa,State Postal Code,CBSA Name,PUMA12 Name,PUMA 2K Name,"Total Pop, 2010 census",puma2k to cbsa alloc factor
1,100,100,us,22520,AL,"Florence-Muscle Shoals, AL","Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",100100,147137,1
1,100,700,us, ,AL, ,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",100700,39558,1
1,200,200,us,26620,AL,"Huntsville, AL",Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),100200,8118,1
1,200,300,us,26620,AL,"Huntsville, AL",Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),100300,163703,1
1,301,200,us,26620,AL,"Huntsville, AL",Huntsville (North) & Madison (East) Cities,100200,55068,1
1,301,300,us,26620,AL,"Huntsville, AL",Huntsville (North) & Madison (East) Cities,100300,63856,1
1,302,200,us,26620,AL,"Huntsville, AL",Huntsville City (Central & South),100200,100748,1
1,302,300,us,26620,AL,"Huntsville, AL",Huntsville City (Central & South),100300,774,1
1,400,400,us, ,AL, ,DeKalb & Jackson Counties,100400,71109,0.572
1,400,400,us,42460,AL,"Scottsboro, AL",DeKalb & Jackson Counties,100400,53227,0.428
1,500,200,us,26620,AL,"Huntsville, AL",Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100200,9698,1
1,500,300,us,26620,AL,"Huntsville, AL",Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100300,15628,1
1,500,500,us,10700,AL,"Albertville, AL",Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100500,93019,1
1,600,600,us,19460,AL,"Decatur, AL",Morgan & Lawrence Counties--Decatur City,100600,153829,1
1,700,500,us, ,AL, ,Cullman & Winston Counties,100500,24484,0.233
1,700,500,us,18980,AL,"Cullman, AL",Cullman & Winston Counties,100500,80406,0.767
1,800,800,us,13820,AL,"Birmingham-Hoover, AL",St. Clair & Blount Counties,100800,140915,1
1,900,1000,us,23460,AL,"Gadsden, AL",Etowah County,101000,104430,1
1,1000,1100,us, ,AL, ,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",101100,77806,0.486
1,1000,1100,us,45180,AL,"Talladega-Sylacauga, AL","Talladega, Cherokee, Randolph, Cleburne & Clay Counties",101100,82291,0.514
1,1100,1100,us,11500,AL,"Anniston-Oxford-Jacksonville, AL",Calhoun County,101100,4,1
1,1100,1200,us,11500,AL,"Anniston-Oxford-Jacksonville, AL",Calhoun County,101200,118568,1
1,1200,1300,us,13820,AL,"Birmingham-Hoover, AL",Shelby County,101300,195085,1
1,1301,902,us,13820,AL,"Birmingham-Hoover, AL",Birmingham City (West),100902,100833,1
1,1302,901,us,13820,AL,"Birmingham-Hoover, AL",Birmingham City (East),100901,89623,1
1,1302,903,us,13820,AL,"Birmingham-Hoover, AL",Birmingham City (East),100903,14,1
1,1302,904,us,13820,AL,"Birmingham-Hoover, AL",Birmingham City (East),100904,12461,1
1,1303,901,us,13820,AL,"Birmingham-Hoover, AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",100901,2,1
1,1303,903,us,13820,AL,"Birmingham-Hoover, AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",100903,170143,1
1,1304,904,us,13820,AL,"Birmingham-Hoover, AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",100904,174673,1
1,1305,905,us,13820,AL,"Birmingham-Hoover, AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",100905,110717,1
1,1400,700,us, ,AL, ,"Walker, Marion (South & West), Fayette & Lamar Counties",100700,54727,1
