"zcta5","cbsa","cbsaname","zipname","pop10","afact"
"ZIP Census Tabulation Area","cbsa","CBSA Name","zipname","Total Pop, 2010 census","zcta5 to cbsa alloc factor"
"01001","44140","Springfield, MA","Agawam Town, MA",16769,1 
"01002","24640","Greenfield Town, MA","Amherst Center, MA",281,0.01 
"01002","44140","Springfield, MA","Amherst Center, MA",28768,0.99 
"01003","44140","Springfield, MA","Amherst Center, MA",10372,1 
"01005","49340","Worcester, MA-CT","Barre, MA",5079,1 
"01007","44140","Springfield, MA","Belchertown, MA",14649,1 
"01008","44140","Springfield, MA","Blandford, MA",1263,1 
"01009","44140","Springfield, MA","Palmer Town, MA",741,1 
"01010","44140","Springfield, MA","Brimfield, MA",3609,1 
"01011","44140","Springfield, MA","Chester, MA",1370,1 
"01012","44140","Springfield, MA","Chesterfield, MA",661,1 
"01013","44140","Springfield, MA","Chicopee, MA",23188,1 
"01020","44140","Springfield, MA","Chicopee, MA",29668,1 
"01022","44140","Springfield, MA","Chicopee, MA",2451,1 
"01026","44140","Springfield, MA","Cummington, MA",946,1 
"01027","44140","Springfield, MA","Easthampton Town, MA",17660,1 
"01028","44140","Springfield, MA","East Longmeadow, MA",15720,1 
"01029","38340","Pittsfield, MA","East Otis, MA (PO Boxes)",789,1 
"01030","44140","Springfield, MA","Agawam Town, MA",11669,1 
"01031","49340","Worcester, MA-CT","Gilbertville, MA",1308,1 
"01032","44140","Springfield, MA","Goshen, MA",570,1 
"01033","44140","Springfield, MA","Granby, MA",6227,1 
"01034","44140","Springfield, MA","Granville, MA",2021,1 
"01035","44140","Springfield, MA","Hadley, MA",5250,1 
"01036","44140","Springfield, MA","Hampden, MA",5109,1 
"01037","49340","Worcester, MA-CT","Hardwick, MA (PO Boxes)",838,1 
"01038","44140","Springfield, MA","Hatfield, MA",2545,1 
"01039","24640","Greenfield Town, MA","Haydenville, MA",202,0.151 
"01039","44140","Springfield, MA","Haydenville, MA",1134,0.849 
"01040","44140","Springfield, MA","Holyoke, MA",39880,1 
"01050","44140","Springfield, MA","Huntington, MA",2530,1 
"01053","44140","Springfield, MA","Northampton, MA",1685,1 
"01054","24640","Greenfield Town, MA","Leverett, MA",1851,1 
"01056","44140","Springfield, MA","Ludlow, MA",21103,1 
"01057","44140","Springfield, MA","Monson, MA",8534,1 
"01060","44140","Springfield, MA","Northampton, MA",15284,1 
"01062","44140","Springfield, MA","Northampton, MA",11150,1 
"01063","44140","Springfield, MA","Northampton, MA",430,1 
"01066","44140","Springfield, MA","North Hatfield, MA (PO Boxes)",64,1 
"01068","49340","Worcester, MA-CT","Oakham, MA",1902,1 
"01069","44140","Springfield, MA","Palmer Town, MA",8469,1 
"01070","44140","Springfield, MA","Plainfield, MA",629,1 
"01071","44140","Springfield, MA","Russell, MA",1596,1 
"01072","24640","Greenfield Town, MA","Shutesbury, MA",1478,1 
"01073","44140","Springfield, MA","Southampton, MA",5792,1 
"01074","49340","Worcester, MA-CT","South Barre, MA (PO Boxes)",319,1 
"01075","44140","Springfield, MA","South Hadley, MA",17527,1 
"01077","44140","Springfield, MA","Southwick, MA",9502,1 
"01079","44140","Springfield, MA","Palmer Town, MA",692,1 
"01080","44140","Springfield, MA","Palmer Town, MA",2334,1 
"01081","44140","Springfield, MA","Wales, MA",1698,1 
"01082","44140","Springfield, MA","Ware, MA",9872,0.956 
"01082","49340","Worcester, MA-CT","Ware, MA",450,0.044 
"01083","49340","Worcester, MA-CT","Warren, MA (PO Boxes)",2888,1 
"01084","44140","Springfield, MA","West Chesterfield, MA (PO Boxes)",176,1 
"01085","44140","Springfield, MA","Westfield, MA",41117,1 
"01086","44140","Springfield, MA","Westfield, MA",687,1 
"01088","44140","Springfield, MA","West Hatfield, MA",670,1 
"01089","44140","Springfield, MA","West Springfield Town, MA",28391,1 
"01092","49340","Worcester, MA-CT","West Warren, MA (PO Boxes)",1394,1 
"01093","24640","Greenfield Town, MA","Whately, MA (PO Boxes)",325,1 
"01094","49340","Worcester, MA-CT","Wheelwright, MA (PO Boxes)",351,1 
"01095","44140","Springfield, MA","Wilbraham, MA",14319,1 
"01096","44140","Springfield, MA","Williamsburg, MA",2217,1 
"01097","44140","Springfield, MA","Woronoco, MA",111,1 
"01098","44140","Springfield, MA","Worthington, MA",1101,1 
"01103","44140","Springfield, MA","Springfield, MA",2479,1 
"01104","44140","Springfield, MA","Springfield, MA",22865,1 
"01105","44140","Springfield, MA","Springfield, MA",12350,1 
"01106","44140","Springfield, MA","Longmeadow, MA",16021,1 
"01107","44140","Springfield, MA","Springfield, MA",11611,1 
"01108","44140","Springfield, MA","Springfield, MA",26688,1 
"01109","44140","Springfield, MA","Springfield, MA",30250,1 
"01118","44140","Springfield, MA","Springfield, MA",14071,1 
"01119","44140","Springfield, MA","Springfield, MA",14152,1 
"01128","44140","Springfield, MA","Springfield, MA",2631,1 
"01129","44140","Springfield, MA","Springfield, MA",7019,1 
"01151","44140","Springfield, MA","Springfield, MA",8698,1 
"01201","38340","Pittsfield, MA","Pittsfield, MA",46504,1 
"01220","38340","Pittsfield, MA","Adams, MA",8603,1 
"01222","38340","Pittsfield, MA","Ashley Falls, MA",829,1 
"01223","38340","Pittsfield, MA","Becket, MA",2314,1 
"01224","38340","Pittsfield, MA","Berkshire, MA",182,1 
"01225","38340","Pittsfield, MA","Cheshire, MA",3117,1 
"01226","38340","Pittsfield, MA","Dalton, MA",6945,1 
"01229","38340","Pittsfield, MA","Glendale, MA (PO Boxes)",95,1 
"01230","38340","Pittsfield, MA","Great Barrington, MA",8430,1 
"01235","38340","Pittsfield, MA","Hinsdale, MA",2766,1 
"01236","38340","Pittsfield, MA","Housatonic, MA",1509,1 
"01237","38340","Pittsfield, MA","Lanesboro, MA",2496,1 
"01238","38340","Pittsfield, MA","Lee, MA",6047,1 
"01240","38340","Pittsfield, MA","Lenox, MA",4534,1 
"01242","38340","Pittsfield, MA","Lenox Dale, MA (PO Boxes)",476,1 
"01243","44140","Springfield, MA","Middlefield, MA (PO Boxes)",334,1 
"01244","38340","Pittsfield, MA","Mill River, MA (PO Boxes)",151,1 
"01245","38340","Pittsfield, MA","Monterey, MA",985,1 
"01247","38340","Pittsfield, MA","North Adams, MA",16087,1 
"01253","38340","Pittsfield, MA","Otis, MA",731,1 
"01254","38340","Pittsfield, MA","Richmond, MA",972,1 
"01255","38340","Pittsfield, MA","Sandisfield, MA",915,1 
"01256","38340","Pittsfield, MA","Savoy, MA",692,1 
"01257","38340","Pittsfield, MA","Sheffield, MA",2121,1 
"01258","38340","Pittsfield, MA","South Egremont, MA",374,1 
"01259","38340","Pittsfield, MA","Southfield, MA",635,1 
"01260","38340","Pittsfield, MA","South Lee, MA (PO Boxes)",240,1 
"01262","38340","Pittsfield, MA","Stockbridge, MA (PO Boxes)",1238,1 
"01264","38340","Pittsfield, MA","Tyringham, MA",137,1 
"01266","38340","Pittsfield, MA","West Stockbridge, MA",1463,1 
"01267","38340","Pittsfield, MA","Williamstown, MA",7989,1 
"01270","38340","Pittsfield, MA","Windsor, MA",778,1 
"01301","24640","Greenfield Town, MA","Greenfield Town, MA",17700,1 
"01330","24640","Greenfield Town, MA","Ashfield, MA",1506,1 
"01331","49340","Worcester, MA-CT","Athol, MA",13263,1 
"01337","24640","Greenfield Town, MA","Bernardston, MA",2596,1 
"01338","24640","Greenfield Town, MA","Buckland, MA",187,1 
"01339","24640","Greenfield Town, MA","Charlemont, MA",1438,1 
"01340","24640","Greenfield Town, MA","Colrain, MA",1701,1 
"01341","24640","Greenfield Town, MA","Conway, MA",1833,1 
"01342","24640","Greenfield Town, MA","Deerfield, MA",1492,1 
"01343","38340","Pittsfield, MA","Drury, MA",75,1 
"01344","24640","Greenfield Town, MA","Erving, MA",1498,1 
"01346","24640","Greenfield Town, MA","Heath, MA",533,1 
"01347","24640","Greenfield Town, MA","Lake Pleasant, MA (PO Boxes)",166,1 
"01349","24640","Greenfield Town, MA","Millers Falls, MA",1091,1 
"01350","24640","Greenfield Town, MA","Monroe Bridge, MA (PO Boxes)",121,1 
"01351","24640","Greenfield Town, MA","Montague, MA",2270,1 
"01354","24640","Greenfield Town, MA","Gill, MA",1500,1 
"01355","24640","Greenfield Town, MA","New Salem, MA",878,1 
"01360","24640","Greenfield Town, MA","Northfield, MA",3032,1 
"01364","24640","Greenfield Town, MA","Orange, MA",7969,1 
"01366","49340","Worcester, MA-CT","Petersham, MA",1277,1 
"01367","24640","Greenfield Town, MA","Rowe, MA",522,1 
"01368","49340","Worcester, MA-CT","Royalston, MA",1261,1 
"01370","24640","Greenfield Town, MA","Shelburne Falls, MA",4084,1 
"01373","24640","Greenfield Town, MA","South Deerfield, MA",4600,1 
"01375","24640","Greenfield Town, MA","Sunderland, MA",3684,1 
"01376","24640","Greenfield Town, MA","Turners Falls, MA",5247,1 
"01378","24640","Greenfield Town, MA","Warwick, MA",774,1 
"01379","24640","Greenfield Town, MA","Wendell, MA",813,1 
"01420","49340","Worcester, MA-CT","Fitchburg, MA",40337,1 
"01430","49340","Worcester, MA-CT","Ashburnham, MA",6089,1 
"01431","14460","Boston-Cambridge-Newton, MA-NH","Ashby, MA",3074,1 
"01432","14460","Boston-Cambridge-Newton, MA-NH","Ayer, MA",7089,1 
"01434","14460","Boston-Cambridge-Newton, MA-NH","Devens, MA",338,0.188 
"01434","49340","Worcester, MA-CT","Devens, MA",1457,0.812 
"01436","49340","Worcester, MA-CT","Baldwinville, MA",3336,1 
"01438","49340","Worcester, MA-CT","East Templeton, MA (PO Boxes)",559,1 
"01440","49340","Worcester, MA-CT","Gardner, MA",20347,1 
"01450","14460","Boston-Cambridge-Newton, MA-NH","Groton, MA",10646,1 
"01451","49340","Worcester, MA-CT","Harvard, MA",4747,1 
"01452","49340","Worcester, MA-CT","Hubbardston, MA",4382,1 
"01453","49340","Worcester, MA-CT","Leominster, MA",40883,1 
"01460","14460","Boston-Cambridge-Newton, MA-NH","Littleton, MA",8924,1 
"01462","49340","Worcester, MA-CT","Lunenburg, MA",10086,1 
"01463","14460","Boston-Cambridge-Newton, MA-NH","Pepperell, MA",11497,1 
"01464","14460","Boston-Cambridge-Newton, MA-NH","Shirley, MA",7211,1 
"01467","49340","Worcester, MA-CT","Still River, MA (PO Boxes)",316,1 
"01468","49340","Worcester, MA-CT","Templeton, MA",4021,1 
"01469","14460","Boston-Cambridge-Newton, MA-NH","Townsend, MA",6801,1 
"01473","49340","Worcester, MA-CT","Westminster, MA",7277,1 
"01474","14460","Boston-Cambridge-Newton, MA-NH","West Townsend, MA",2125,1 
"01475","49340","Worcester, MA-CT","Winchendon, MA",10270,1 
"01501","49340","Worcester, MA-CT","Auburn, MA",16075,1 
"01503","49340","Worcester, MA-CT","Berlin, MA",2866,1 
"01504","49340","Worcester, MA-CT","Blackstone, MA",9026,1 
"01505","49340","Worcester, MA-CT","Boylston, MA",4355,1 
"01506","49340","Worcester, MA-CT","Brookfield, MA",3390,1 
"01507","49340","Worcester, MA-CT","Charlton, MA",12981,1 
"01510","49340","Worcester, MA-CT","Clinton, MA",13606,1 
"01515","49340","Worcester, MA-CT","East Brookfield, MA",2183,1 
"01516","49340","Worcester, MA-CT","Douglas, MA",8500,1 
"01518","49340","Worcester, MA-CT","Fiskdale, MA",2974,1 
"01519","49340","Worcester, MA-CT","Grafton, MA",6595,1 
"01520","49340","Worcester, MA-CT","Holden, MA",13997,1 
"01521","44140","Springfield, MA","Holland, MA",2481,1 
"01522","49340","Worcester, MA-CT","Jefferson, MA",3310,1 
"01523","49340","Worcester, MA-CT","Lancaster, MA",7582,1 
"01524","49340","Worcester, MA-CT","Leicester, MA",6696,1 
"01525","49340","Worcester, MA-CT","Linwood, MA (PO Boxes)",290,1 
"01527","49340","Worcester, MA-CT","Millbury, MA",13246,1 
"01529","49340","Worcester, MA-CT","Millville, MA",3190,1 
"01531","49340","Worcester, MA-CT","New Braintree, MA",999,1 
"01532","49340","Worcester, MA-CT","Northborough, MA",14155,1 
"01534","49340","Worcester, MA-CT","Northbridge, MA",5631,1 
"01535","49340","Worcester, MA-CT","North Brookfield, MA",4680,1 
"01536","49340","Worcester, MA-CT","North Grafton, MA",6888,1 
"01537","49340","Worcester, MA-CT","North Oxford, MA",2248,1 
"01540","49340","Worcester, MA-CT","Oxford, MA",11291,1 
"01541","49340","Worcester, MA-CT","Princeton, MA",3413,1 
"01542","49340","Worcester, MA-CT","Rochdale, MA",2202,1 
"01543","49340","Worcester, MA-CT","Rutland, MA",7973,1 
"01545","49340","Worcester, MA-CT","Shrewsbury, MA",35299,1 
"01550","49340","Worcester, MA-CT","Southbridge Town, MA",16719,1 
"01560","49340","Worcester, MA-CT","South Grafton, MA",4527,1 
"01561","49340","Worcester, MA-CT","South Lancaster, MA",330,1 
"01562","49340","Worcester, MA-CT","Spencer, MA",11688,1 
"01564","49340","Worcester, MA-CT","Sterling, MA",7808,1 
"01566","49340","Worcester, MA-CT","Sturbridge, MA",6294,1 
"01568","49340","Worcester, MA-CT","Upton, MA",7480,1 
"01569","49340","Worcester, MA-CT","Uxbridge, MA",13569,1 
"01570","49340","Worcester, MA-CT","Webster, MA",16767,1 
"01571","49340","Worcester, MA-CT","Dudley, MA",11390,1 
"01581","49340","Worcester, MA-CT","Westborough, MA",18272,1 
"01583","49340","Worcester, MA-CT","West Boylston, MA",7591,1 
"01585","49340","Worcester, MA-CT","West Brookfield, MA",4554,1 
"01588","49340","Worcester, MA-CT","Whitinsville, MA",9733,1 
"01590","49340","Worcester, MA-CT","Sutton, MA",8875,1 
"01602","49340","Worcester, MA-CT","Worcester, MA",22819,1 
"01603","49340","Worcester, MA-CT","Worcester, MA",19916,1 
"01604","49340","Worcester, MA-CT","Worcester, MA",34677,1 
"01605","49340","Worcester, MA-CT","Worcester, MA",26221,1 
"01606","49340","Worcester, MA-CT","Worcester, MA",19077,1 
"01607","49340","Worcester, MA-CT","Worcester, MA",8351,1 
"01608","49340","Worcester, MA-CT","Worcester, MA",3888,1 
"01609","49340","Worcester, MA-CT","Worcester, MA",22421,1 
"01610","49340","Worcester, MA-CT","Worcester, MA",23945,1 
"01611","49340","Worcester, MA-CT","Cherry Valley, MA",2242,1 
"01612","49340","Worcester, MA-CT","Paxton, MA",4845,1 
"01701","14460","Boston-Cambridge-Newton, MA-NH","Framingham, MA",31217,1 
"01702","14460","Boston-Cambridge-Newton, MA-NH","Framingham, MA",37206,1 
"01718","14460","Boston-Cambridge-Newton, MA-NH","Village Of Nagog Woods, MA",469,1 
"01719","14460","Boston-Cambridge-Newton, MA-NH","Boxborough, MA",4996,1 
"01720","14460","Boston-Cambridge-Newton, MA-NH","Acton, MA",21361,1 
"01721","14460","Boston-Cambridge-Newton, MA-NH","Ashland, MA",16593,1 
"01730","14460","Boston-Cambridge-Newton, MA-NH","Bedford, MA",13221,1 
"01731","14460","Boston-Cambridge-Newton, MA-NH","Hanscom Afb, MA",1396,1 
"01740","49340","Worcester, MA-CT","Bolton, MA",4897,1 
"01741","14460","Boston-Cambridge-Newton, MA-NH","Carlisle, MA",4852,1 
"01742","14460","Boston-Cambridge-Newton, MA-NH","Concord, MA",17726,1 
"01745","49340","Worcester, MA-CT","Fayville, MA",397,1 
"01746","14460","Boston-Cambridge-Newton, MA-NH","Holliston, MA",13547,1 
"01747","49340","Worcester, MA-CT","Hopedale, MA",5911,1 
"01748","14460","Boston-Cambridge-Newton, MA-NH","Hopkinton, MA",14925,1 
"01749","14460","Boston-Cambridge-Newton, MA-NH","Hudson, MA",19063,1 
"01752","14460","Boston-Cambridge-Newton, MA-NH","Marlborough, MA",38499,1 
"01754","14460","Boston-Cambridge-Newton, MA-NH","Maynard, MA",10106,1 
"01756","49340","Worcester, MA-CT","Mendon, MA",5839,1 
"01757","49340","Worcester, MA-CT","Milford, MA",28061,1 
"01760","14460","Boston-Cambridge-Newton, MA-NH","Natick, MA",32786,1 
"01770","14460","Boston-Cambridge-Newton, MA-NH","Sherborn, MA",4119,1 
"01772","49340","Worcester, MA-CT","Southborough, MA",9370,1 
"01773","14460","Boston-Cambridge-Newton, MA-NH","Lincoln, MA",5112,1 
"01775","14460","Boston-Cambridge-Newton, MA-NH","Stow, MA",6590,1 
"01776","14460","Boston-Cambridge-Newton, MA-NH","Sudbury, MA",17659,1 
"01778","14460","Boston-Cambridge-Newton, MA-NH","Cochituate, MA",13109,1 
"01801","14460","Boston-Cambridge-Newton, MA-NH","Woburn, MA",38903,1 
"01803","14460","Boston-Cambridge-Newton, MA-NH","Burlington, MA",24487,1 
"01810","14460","Boston-Cambridge-Newton, MA-NH","Andover, MA",33201,1 
"01821","14460","Boston-Cambridge-Newton, MA-NH","Billerica, MA",30310,1 
"01824","14460","Boston-Cambridge-Newton, MA-NH","Chelmsford, MA",24911,1 
"01826","14460","Boston-Cambridge-Newton, MA-NH","Dracut, MA",29422,1 
"01827","14460","Boston-Cambridge-Newton, MA-NH","Dunstable, MA",3179,1 
"01830","14460","Boston-Cambridge-Newton, MA-NH","Haverhill, MA",25137,1 
"01832","14460","Boston-Cambridge-Newton, MA-NH","Haverhill, MA",22060,1 
"01833","14460","Boston-Cambridge-Newton, MA-NH","Georgetown, MA",8183,1 
"01834","14460","Boston-Cambridge-Newton, MA-NH","Groveland, MA",6459,1 
"01835","14460","Boston-Cambridge-Newton, MA-NH","Haverhill, MA",13682,1 
"01840","14460","Boston-Cambridge-Newton, MA-NH","Lawrence, MA",4733,1 
"01841","14460","Boston-Cambridge-Newton, MA-NH","Lawrence, MA",47225,1 
